age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,age_group,income_band,total_spend,online_spend_ratio,digital_score
70,133558,6.1,1,4.7,3,7,38,16,112780,45820,5,8,3,4,1,2,5,9,5,3,10,Other,Tier 1,Store,51+,Medium,158600,0.711,22.2
19,190599,5.1,3,0.0,10,2,12,9,45262,75090,7,9,6,8,7,10,1,8,3,9,6,Male,Tier 3,Store,18-25,High,120352,0.376,22.2
37,24190,4.7,8,2.7,8,3,32,10,95314,64682,10,3,1,5,3,2,10,10,7,1,6,Female,Tier 3,Store,36-50,Low,159996,0.596,20.4
45,107259,8.6,13,4.7,7,2,19,8,121443,2632,8,0,4,6,9,3,8,8,3,10,7,Female,Tier 3,Online,36-50,Medium,124075,0.979,26.2
64,93422,8.1,4,0.5,9,9,2,17,12681,73056,2,5,5,3,10,7,2,7,1,10,10,Other,Tier 3,Store,51+,Medium,85737,0.148,34.2
77,201770,11.8,12,1.9,1,3,5,2,14174,80428,3,8,7,9,6,3,3,5,7,8,2,Male,Tier 3,Store,51+,High,94602,0.15,27.6
24,97315,5.4,1,0.7,2,8,42,4,81080,1415,8,3,2,4,5,1,3,4,4,7,1,Male,Tier 2,Online,18-25,Medium,82495,0.983,20.8
61,239782,4.7,1,4.3,2,6,16,4,40995,33647,5,8,3,6,6,5,3,5,3,9,7,Male,Tier 3,Store,51+,High,74642,0.549,17.4
78,44086,6.9,8,1.4,1,1,46,4,85145,53410,6,6,5,6,7,8,5,9,4,10,5,Other,Tier 2,Store,51+,Low,138555,0.615,15.8
25,163394,6.9,14,3.8,8,6,3,10,115514,107200,4,0,5,8,5,8,8,4,4,4,6,Male,Tier 1,Store,18-25,High,222714,0.519,27.8
64,140604,7.3,8,4.3,4,8,32,3,25654,113813,1,5,1,10,5,5,1,9,6,2,5,Other,Tier 3,Store,51+,Medium,139467,0.184,26.6
52,115814,7.7,4,0.8,7,10,32,4,46668,53060,8,1,6,8,4,8,8,9,6,10,8,Female,Tier 2,Store,51+,Medium,99728,0.468,32.4
31,134324,7.3,4,0.6,10,3,5,18,53741,92824,4,7,6,6,4,4,6,10,3,2,3,Female,Tier 2,Store,26-35,Medium,146565,0.367,27.6
34,229641,8.2,10,3.1,1,7,40,10,127570,40905,9,6,7,1,3,3,10,6,6,8,1,Male,Tier 2,Store,26-35,High,168475,0.757,24.4
53,231682,8.4,11,3.5,8,6,13,11,6497,6128,2,6,2,8,8,2,1,5,1,5,1,Male,Tier 3,Online,51+,High,12625,0.515,30.8
67,143921,8.5,2,2.4,8,1,45,16,98084,69949,8,3,7,7,6,6,8,2,3,5,2,Female,Tier 3,Store,51+,Medium,168033,0.584,26.0
57,18435,1.5,2,2.5,10,2,6,14,42909,146654,9,0,2,5,7,8,6,4,10,2,2,Female,Tier 2,Store,51+,Low,189563,0.226,15.0
21,116505,6.5,12,4.4,3,5,5,1,127783,33220,6,6,4,8,3,8,1,3,7,7,4,Female,Tier 3,Store,18-25,Medium,161003,0.794,21.0
19,68331,4.2,6,2.2,9,7,2,0,46694,136414,8,4,4,6,9,6,1,10,4,10,7,Female,Tier 3,Store,18-25,Medium,183108,0.255,24.4
79,175014,8.1,8,4.3,5,4,36,5,39103,143083,4,4,5,1,10,7,4,9,6,9,3,Male,Tier 1,Store,51+,High,182186,0.215,25.2
23,205707,1.4,7,1.8,5,6,21,0,99870,77294,10,8,5,4,7,2,10,4,7,3,2,Other,Tier 3,Store,18-25,High,177164,0.564,13.8
71,175131,8.9,7,5.6,5,2,37,14,75058,101241,1,2,5,4,6,5,3,6,8,7,7,Other,Tier 1,Store,51+,High,176299,0.426,24.8
59,203629,4.3,3,1.3,1,5,7,1,116877,85088,2,4,2,1,4,4,3,6,10,1,3,Male,Tier 2,Store,51+,High,201965,0.579,14.6
21,128457,3.8,12,4.0,10,10,23,7,60914,86637,1,9,5,10,1,2,7,2,10,6,4,Male,Tier 2,Store,18-25,Medium,147551,0.413,27.6
71,67389,6.7,2,1.2,2,3,12,15,108663,12756,9,1,6,1,9,8,10,9,6,10,2,Other,Tier 3,Store,51+,Medium,121419,0.895,18.4
46,68014,5.3,10,3.5,1,1,12,15,100090,14593,5,4,7,6,4,7,3,4,6,8,5,Female,Tier 1,Store,36-50,Medium,114683,0.873,12.6
35,178898,9.6,7,2.5,2,6,0,15,134009,122334,6,4,2,1,9,5,1,3,5,7,10,Male,Tier 1,Store,26-35,High,256343,0.523,27.2
43,45297,8.7,4,2.9,9,9,40,19,133533,51599,8,1,4,8,4,10,2,2,5,8,10,Other,Tier 2,Store,36-50,Low,185132,0.721,35.4
61,58890,5.0,1,3.4,9,10,35,18,54175,15079,9,8,1,2,8,5,7,10,3,2,10,Male,Tier 1,Hybrid,51+,Medium,69254,0.782,29.0
51,36322,8.1,1,2.8,5,8,31,1,89984,1755,3,2,4,3,10,7,5,8,4,3,7,Male,Tier 1,Online,51+,Low,91739,0.981,29.2
27,50739,4.9,4,2.7,4,4,4,19,96448,40057,2,0,2,3,2,9,10,4,10,6,1,Female,Tier 2,Store,26-35,Medium,136505,0.707,17.8
79,155791,4.9,5,0.1,2,8,48,13,88080,131816,3,3,2,4,8,5,10,10,3,6,10,Male,Tier 2,Store,51+,High,219896,0.401,19.8
53,94553,7.4,5,4.3,6,5,6,1,111721,12894,6,3,4,8,4,5,10,1,8,2,5,Male,Tier 3,Online,51+,Medium,124615,0.897,25.8
31,23314,8.9,1,4.5,9,3,49,18,12272,95966,1,4,4,3,8,1,8,7,10,1,10,Female,Tier 1,Store,26-35,Low,108238,0.113,29.8
48,108831,5.1,3,2.4,8,4,44,1,132569,27317,2,2,2,1,4,1,6,10,4,4,2,Male,Tier 3,Store,36-50,Medium,159886,0.829,22.2
65,90164,5.3,6,3.2,10,7,31,17,90211,118307,8,7,3,3,5,4,7,8,8,1,10,Female,Tier 1,Store,51+,Medium,208518,0.433,27.6
32,122658,6.6,10,4.3,4,5,27,16,31685,132793,8,6,4,9,4,5,8,1,2,5,3,Male,Tier 2,Store,26-35,Medium,164478,0.193,22.2
25,92028,4.2,7,3.3,6,4,32,18,65991,51025,6,0,5,9,3,2,8,4,9,7,9,Male,Tier 3,Store,18-25,Medium,117016,0.564,18.4
31,51113,9.1,11,1.8,9,3,45,13,147375,78112,8,0,6,9,3,5,2,7,5,1,4,Male,Tier 3,Store,26-35,Medium,225487,0.654,30.2
40,132174,4.2,1,0.9,10,3,13,16,130017,1691,8,7,7,4,9,1,10,1,5,8,8,Male,Tier 2,Online,36-50,Medium,131708,0.987,21.4
77,161429,4.7,8,3.3,10,10,12,15,78190,20030,5,4,4,10,8,4,6,10,6,5,3,Male,Tier 1,Store,51+,High,98220,0.796,29.4
74,244937,9.5,4,2.7,4,6,28,18,127092,79753,4,1,1,9,5,3,7,5,1,1,3,Other,Tier 2,Store,51+,High,206845,0.614,29.0
79,35365,6.4,13,2.5,9,8,49,16,48155,140662,7,7,2,2,2,8,2,3,1,4,6,Female,Tier 3,Store,51+,Low,188817,0.255,29.8
57,54029,9.9,9,1.5,8,4,39,11,141672,134032,10,7,1,6,4,4,3,10,4,10,10,Male,Tier 2,Store,51+,Medium,275704,0.514,31.8
38,16737,5.6,11,2.1,3,1,0,3,33852,33315,1,6,1,3,6,8,1,1,10,4,6,Female,Tier 1,Store,36-50,Low,67167,0.504,15.2
33,146042,11.0,11,2.9,9,4,46,7,5641,40673,7,6,3,2,6,2,1,3,7,2,1,Male,Tier 2,Store,26-35,Medium,46314,0.122,35.0
62,220704,7.2,6,2.1,5,5,48,0,117780,144379,8,9,4,8,6,1,8,7,5,4,10,Other,Tier 1,Store,51+,High,262159,0.449,24.4
35,100474,4.5,1,2.5,1,8,48,13,87037,17572,3,1,5,8,3,1,9,7,1,3,2,Female,Tier 1,Store,26-35,Medium,104609,0.832,18.0
64,93218,4.5,2,2.5,8,7,26,8,78000,97914,8,9,6,4,4,4,6,10,6,10,10,Male,Tier 1,Store,51+,Medium,175914,0.443,24.0
70,173571,3.1,3,3.4,5,2,29,17,133230,128907,6,3,4,7,6,4,7,1,5,5,10,Female,Tier 1,Store,51+,High,262137,0.508,13.2
41,143692,3.3,2,0.6,5,9,33,11,73094,91378,3,8,2,10,1,7,3,10,8,6,9,Other,Tier 3,Store,36-50,Medium,164472,0.444,20.6
43,192229,4.7,10,2.0,2,3,45,1,37559,29767,6,8,4,7,9,2,2,5,9,6,1,Male,Tier 3,Store,36-50,High,67326,0.558,14.4
42,202319,4.0,7,1.1,9,9,0,5,133247,126515,6,1,3,4,3,2,4,10,5,6,7,Other,Tier 2,Store,36-50,High,259762,0.513,26.0
77,143411,1.0,12,2.7,6,1,33,4,20371,45220,4,9,5,5,7,2,4,9,8,3,2,Other,Tier 2,Store,51+,Medium,65591,0.311,9.0
77,187106,7.7,1,1.4,10,9,6,17,57614,75449,5,1,2,9,10,1,8,4,4,10,10,Male,Tier 1,Store,51+,High,133063,0.433,34.4
77,15294,7.6,9,3.7,3,7,0,13,63404,86376,5,1,2,2,9,3,2,2,10,9,7,Male,Tier 1,Store,51+,Low,149780,0.423,25.2
62,244144,6.6,2,2.0,7,2,41,14,111401,132192,6,4,1,1,2,5,10,7,8,10,1,Other,Tier 3,Store,51+,High,243593,0.457,22.2
58,39596,3.7,4,1.8,2,10,17,12,20920,123720,6,7,2,2,10,2,8,8,1,3,4,Male,Tier 3,Store,51+,Low,144640,0.145,19.4
46,113185,9.3,8,1.4,7,7,34,8,78438,14175,3,2,3,3,6,3,4,1,4,8,8,Other,Tier 3,Online,36-50,Medium,92613,0.847,32.6
32,26434,5.6,11,2.8,2,1,49,18,52711,92060,2,8,1,6,8,7,2,10,3,2,3,Male,Tier 1,Store,26-35,Low,144771,0.364,14.2
62,73382,4.3,3,0.8,5,3,18,0,53242,76108,1,0,4,5,4,7,3,7,5,3,8,Female,Tier 2,Store,51+,Medium,129350,0.412,16.6
18,53098,6.5,9,2.4,10,7,12,7,124737,50307,1,4,7,3,1,7,9,9,5,8,5,Male,Tier 2,Store,18-25,Medium,175044,0.713,30.0
42,19655,6.4,7,2.3,10,3,22,15,73916,25764,8,7,5,4,10,1,3,1,4,8,5,Male,Tier 1,Store,36-50,Low,99680,0.742,25.8
24,98029,1.0,10,1.8,9,2,1,6,83480,30866,4,1,5,6,1,7,8,10,2,4,9,Other,Tier 1,Store,18-25,Medium,114346,0.73,13.0
26,61228,5.9,12,2.8,9,5,2,15,144764,70719,5,5,2,4,2,4,4,7,2,6,1,Male,Tier 2,Store,26-35,Medium,215483,0.672,25.8
41,18771,6.2,12,1.9,6,3,21,12,100216,127455,8,2,7,6,10,7,3,8,8,1,9,Male,Tier 3,Store,36-50,Low,227671,0.44,21.4
18,89099,5.2,3,2.9,3,9,35,12,52391,51551,10,8,5,4,1,4,10,8,9,9,4,Other,Tier 3,Store,18-25,Medium,103942,0.504,22.4
61,135811,3.4,3,1.8,4,7,48,19,113169,80385,7,6,4,9,1,6,5,10,6,1,8,Female,Tier 2,Store,51+,Medium,193554,0.585,17.8
25,202871,3.4,5,1.5,4,1,7,18,110255,83619,4,8,7,4,5,5,6,1,3,5,4,Other,Tier 3,Store,18-25,High,193874,0.569,11.8
41,77257,7.0,5,2.8,9,1,22,10,59559,20771,7,5,6,1,1,3,9,4,5,3,7,Other,Tier 3,Store,36-50,Medium,80330,0.741,24.0
28,32558,7.5,10,3.5,4,6,7,15,43151,80138,3,8,5,2,1,1,2,3,5,1,3,Female,Tier 3,Store,26-35,Low,123289,0.35,25.0
68,245540,5.1,5,6.0,4,4,24,8,50494,17187,6,1,7,3,10,5,8,8,10,9,6,Male,Tier 2,Store,51+,High,67681,0.746,18.2
34,73436,6.8,12,2.1,5,1,34,12,134725,106660,2,9,1,2,9,1,7,1,4,5,5,Male,Tier 3,Store,26-35,Medium,241385,0.558,19.6
25,122779,5.1,13,3.5,6,9,46,18,145382,145371,6,1,2,6,8,4,8,4,6,4,7,Other,Tier 1,Store,18-25,Medium,290753,0.5,25.2
52,139891,4.3,9,1.9,8,2,10,9,1164,86326,6,3,3,6,1,3,2,2,10,7,4,Female,Tier 1,Store,51+,Medium,87490,0.013,18.6
52,238175,6.4,9,3.5,1,1,40,6,80641,99481,3,4,5,9,7,3,6,2,10,1,1,Female,Tier 2,Store,51+,High,180122,0.448,14.8
50,47376,3.7,6,4.2,5,3,42,16,70398,58088,10,9,5,3,5,4,7,6,1,9,5,Female,Tier 3,Store,36-50,Low,128486,0.548,15.4
76,233530,9.8,11,2.7,9,10,5,9,113422,96655,9,8,2,5,7,9,3,2,1,5,5,Female,Tier 2,Store,51+,High,210077,0.54,38.6
22,92924,3.1,11,3.4,10,1,41,1,27127,117933,5,1,6,1,3,3,8,3,9,8,2,Other,Tier 1,Store,18-25,Medium,145060,0.187,17.2
59,44332,6.6,7,3.1,4,4,41,17,52646,124644,5,7,1,3,6,7,5,9,6,9,1,Other,Tier 3,Store,51+,Low,177290,0.297,21.2
56,146001,6.3,10,2.5,8,4,49,15,44124,33055,1,4,6,5,8,7,10,6,9,6,6,Male,Tier 1,Store,51+,Medium,77179,0.572,24.6
75,61737,6.1,8,1.9,9,6,44,2,118683,2722,4,8,2,7,9,7,4,2,10,9,9,Other,Tier 3,Online,51+,Medium,121405,0.978,27.2
58,145912,9.0,9,2.0,1,3,16,19,111162,97224,1,4,3,10,2,3,6,2,4,1,7,Female,Tier 2,Store,51+,Medium,208386,0.533,22.0
45,104031,1.0,6,0.8,8,9,35,0,75525,138233,10,1,6,2,6,4,6,2,6,7,5,Male,Tier 1,Store,36-50,Medium,213758,0.353,19.0
24,220042,6.8,8,3.8,8,6,17,4,79855,23037,1,7,6,9,3,10,9,3,8,6,2,Other,Tier 2,Online,18-25,High,102892,0.776,27.6
26,198024,5.5,2,4.9,5,7,32,0,33221,134171,7,0,7,3,4,9,7,6,1,6,6,Female,Tier 3,Store,26-35,High,167392,0.198,23.0
25,35991,7.2,10,0.7,10,6,17,6,56962,128001,5,2,2,8,8,3,8,2,8,1,2,Other,Tier 1,Store,18-25,Low,184963,0.308,30.4
29,42472,6.1,8,3.8,2,9,6,17,121471,29468,8,3,6,3,3,6,9,10,3,6,4,Male,Tier 1,Store,26-35,Low,150939,0.805,23.2
51,74946,5.8,13,2.4,7,2,28,3,56598,8583,4,9,2,6,4,9,6,4,9,9,6,Male,Tier 2,Online,51+,Medium,65181,0.868,20.6
50,172921,3.6,11,1.7,5,8,4,8,25623,145703,9,6,5,7,3,10,2,4,8,8,1,Male,Tier 3,Store,36-50,High,171326,0.15,20.2
65,16541,4.7,2,2.7,5,5,15,0,71397,57597,10,2,3,1,3,3,5,2,2,10,2,Female,Tier 2,Store,51+,Low,128994,0.553,19.4
72,144237,12.0,8,1.5,6,2,30,0,121727,842,4,0,4,1,2,10,9,2,10,8,6,Female,Tier 1,Online,51+,Medium,122569,0.993,32.0
40,17765,7.2,2,2.8,10,7,4,5,136835,105188,2,3,1,6,10,9,1,4,2,6,8,Other,Tier 3,Store,36-50,Low,242023,0.565,31.4
79,58074,8.1,3,2.1,8,5,9,16,128495,141662,3,7,7,4,9,9,6,8,7,6,5,Female,Tier 1,Store,51+,Medium,270157,0.476,29.2
41,117795,5.3,7,2.1,1,8,28,15,94879,51247,9,1,2,7,3,5,9,6,7,2,3,Female,Tier 1,Store,36-50,Medium,146126,0.649,19.6
54,175355,4.3,11,4.0,3,10,28,18,58775,134000,3,6,6,2,1,3,3,8,7,3,9,Male,Tier 2,Store,51+,High,192775,0.305,21.6
52,116387,7.6,9,0.2,7,6,15,3,116654,116434,1,1,4,1,7,2,6,10,1,9,5,Female,Tier 3,Store,51+,Medium,233088,0.5,28.2
